Scenario;Metamodel;Metric;Value
GlobalChoreographyTask;mbpmn;inter module coupling;167.5651688289754
GlobalChoreographyTask;mbpmn;graph cohesion;0.03166042899978712
ImplicitThrowEvent;org.eclipse.bpmn2;number of modules;5
ImplicitThrowEvent;org.eclipse.bpmn2;number of nodes;176
ImplicitThrowEvent;org.eclipse.bpmn2;number of edges;458
ImplicitThrowEvent;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ImplicitThrowEvent;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
ImplicitThrowEvent;org.eclipse.bpmn2;inter module coupling;52.4244287800409
ImplicitThrowEvent;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
ImplicitThrowEvent;mbpmn;number of modules;9
ImplicitThrowEvent;mbpmn;number of nodes;57
ImplicitThrowEvent;mbpmn;number of edges;132
ImplicitThrowEvent;mbpmn;hypergraph size;341.19329686298676
ImplicitThrowEvent;mbpmn;hypergraph complexity;574.0280144037629
ImplicitThrowEvent;mbpmn;inter module coupling;103.51401914499706
ImplicitThrowEvent;mbpmn;graph cohesion;0.030043088042630416
InputOutputBinding;org.eclipse.bpmn2;number of modules;5
InputOutputBinding;org.eclipse.bpmn2;number of nodes;176
InputOutputBinding;org.eclipse.bpmn2;number of edges;458
InputOutputBinding;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
InputOutputBinding;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
InputOutputBinding;org.eclipse.bpmn2;inter module coupling;52.42442878004087
InputOutputBinding;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
InputOutputBinding;mbpmn;number of modules;9
InputOutputBinding;mbpmn;number of nodes;56
InputOutputBinding;mbpmn;number of edges;132
InputOutputBinding;mbpmn;hypergraph size;333.90491672227154
InputOutputBinding;mbpmn;hypergraph complexity;590.218923790251
InputOutputBinding;mbpmn;inter module coupling;170.49264866855475
InputOutputBinding;mbpmn;graph cohesion;0.03213864972449197
InteractionNode;org.eclipse.bpmn2;number of modules;5
InteractionNode;org.eclipse.bpmn2;number of nodes;176
