Mode;Model;Resource;Metamodel;Util
Full;12;12.bpmn;org.eclipse.bpmn2;0.391025641025641
Full;12;12.bpmn;mbpmn;0.5344827586206896
Full;13;13.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;13;13.bpmn;mbpmn;0.5841584158415841
Full;14;14.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;14;14.bpmn;mbpmn;0.5841584158415841
Full;15;15.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;15;15.bpmn;mbpmn;0.5841584158415841
Full;16;16.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;16;16.bpmn;mbpmn;0.5714285714285714
Full;17;17.bpmn;org.eclipse.bpmn2;0.3782051282051282
Full;17;17.bpmn;mbpmn;0.5309734513274337
Full;18;18.bpmn;org.eclipse.bpmn2;0.358974358974359
Full;18;18.bpmn;mbpmn;0.5181818181818182
Full;19;19.bpmn;org.eclipse.bpmn2;0.3782051282051282
Full;19;19.bpmn;mbpmn;0.5309734513274337
Full;1_61cde83dea954a0a80b769e291a7a462.bpmn;1_61cde83dea954a0a80b769e291a7a462.bpmn;org.eclipse.bpmn2;0.3269230769230769
Full;1_61cde83dea954a0a80b769e291a7a462.bpmn;1_61cde83dea954a0a80b769e291a7a462.bpmn;mbpmn;0.5306122448979592
Full;2;2.bpmn;org.eclipse.bpmn2;0.3782051282051282
Full;2;2.bpmn;mbpmn;0.5309734513274337
Full;2._Regressnahme_fd071e371530415dbd1c605de3888422.bpmn;2._Regressnahme_fd071e371530415dbd1c605de3888422.bpmn;org.eclipse.bpmn2;0.28846153846153844
Full;2._Regressnahme_fd071e371530415dbd1c605de3888422.bpmn;2._Regressnahme_fd071e371530415dbd1c605de3888422.bpmn;mbpmn;0.5287356321839081
Full;20;20.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;20;20.bpmn;mbpmn;0.5841584158415841
Full;21;21.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;21;21.bpmn;mbpmn;0.5714285714285714
Full;22;22.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;22;22.bpmn;mbpmn;0.5841584158415841
Full;23;23.bpmn;org.eclipse.bpmn2;0.27564102564102566
Full;23;23.bpmn;mbpmn;0.5641025641025641
Full;24;24.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;24;24.bpmn;mbpmn;0.5510204081632653
Full;25;25.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;25;25.bpmn;mbpmn;0.5510204081632653
Full;26;26.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;26;26.bpmn;mbpmn;0.5714285714285714
Full;27;27.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;27;27.bpmn;mbpmn;0.5510204081632653
Full;28;28.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;28;28.bpmn;mbpmn;0.5841584158415841
Full;29;29.bpmn;org.eclipse.bpmn2;0.36538461538461536
Full;29;29.bpmn;mbpmn;0.5918367346938775
Full;3;3.bpmn;org.eclipse.bpmn2;0.3782051282051282
Full;3;3.bpmn;mbpmn;0.5309734513274337
Full;3-Regressnahme_abaeb1bfe7cb46448a9126aa13cc0084.bpmn;3-Regressnahme_abaeb1bfe7cb46448a9126aa13cc0084.bpmn;org.eclipse.bpmn2;0.3269230769230769
Full;3-Regressnahme_abaeb1bfe7cb46448a9126aa13cc0084.bpmn;3-Regressnahme_abaeb1bfe7cb46448a9126aa13cc0084.bpmn;mbpmn;0.5473684210526316
Full;3.__bung_Regressnahme_6ad77fb7929143dd85d80f6b49a4ed7a.bpmn;3.__bung_Regressnahme_6ad77fb7929143dd85d80f6b49a4ed7a.bpmn;org.eclipse.bpmn2;0.3269230769230769
Full;3.__bung_Regressnahme_6ad77fb7929143dd85d80f6b49a4ed7a.bpmn;3.__bung_Regressnahme_6ad77fb7929143dd85d80f6b49a4ed7a.bpmn;mbpmn;0.5473684210526316
Full;3.__bung_Schufascoring_05b570bf728346a7b552f0a8d64d49da.bpmn;3.__bung_Schufascoring_05b570bf728346a7b552f0a8d64d49da.bpmn;org.eclipse.bpmn2;0.3076923076923077
Full;3.__bung_Schufascoring_05b570bf728346a7b552f0a8d64d49da.bpmn;3.__bung_Schufascoring_05b570bf728346a7b552f0a8d64d49da.bpmn;mbpmn;0.5268817204301075
Full;30;30.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;30;30.bpmn;mbpmn;0.5714285714285714
Full;31;31.bpmn;org.eclipse.bpmn2;0.3717948717948718
