Scenario;Metamodel;Metric;Value
InputOutputBinding (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
InputOutputBinding (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
InputOutputBinding (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
InputOutputBinding (1);mbpmn;number of modules;9
InputOutputBinding (1);mbpmn;number of nodes;56
InputOutputBinding (1);mbpmn;number of edges;132
InputOutputBinding (1);mbpmn;hypergraph size;333.90491672227154
InputOutputBinding (1);mbpmn;hypergraph complexity;590.218923790251
InputOutputBinding (1);mbpmn;inter module coupling;170.49264866855475
InputOutputBinding (1);mbpmn;graph cohesion;0.03213864972449197
InteractionNode (1);org.eclipse.bpmn2;number of modules;5
InteractionNode (1);org.eclipse.bpmn2;number of nodes;176
InteractionNode (1);org.eclipse.bpmn2;number of edges;458
InteractionNode (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
InteractionNode (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
InteractionNode (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
InteractionNode (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
InteractionNode (1);mbpmn;number of modules;7
InteractionNode (1);mbpmn;number of nodes;29
InteractionNode (1);mbpmn;number of edges;55
InteractionNode (1);mbpmn;hypergraph size;148.62588931160627
InteractionNode (1);mbpmn;hypergraph complexity;235.60373172519496
InteractionNode (1);mbpmn;inter module coupling;44.42792864444607
InteractionNode (1);mbpmn;graph cohesion;0.05661475957626749
ItemAwareElement (1);org.eclipse.bpmn2;number of modules;5
ItemAwareElement (1);org.eclipse.bpmn2;number of nodes;176
ItemAwareElement (1);org.eclipse.bpmn2;number of edges;458
ItemAwareElement (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ItemAwareElement (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
ItemAwareElement (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
ItemAwareElement (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394587
ItemAwareElement (1);mbpmn;number of modules;7
ItemAwareElement (1);mbpmn;number of nodes;46
ItemAwareElement (1);mbpmn;number of edges;104
ItemAwareElement (1);mbpmn;hypergraph size;262.49323753389433
ItemAwareElement (1);mbpmn;hypergraph complexity;443.73328859165736
ItemAwareElement (1);mbpmn;inter module coupling;79.80078151468041
ItemAwareElement (1);mbpmn;graph cohesion;0.037565690602631284
LaneSet (1);org.eclipse.bpmn2;number of modules;5
LaneSet (1);org.eclipse.bpmn2;number of nodes;176
LaneSet (1);org.eclipse.bpmn2;number of edges;458
LaneSet (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
LaneSet (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
LaneSet (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
LaneSet (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394584
LaneSet (1);mbpmn;number of modules;12
LaneSet (1);mbpmn;number of nodes;67
LaneSet (1);mbpmn;number of edges;164
LaneSet (1);mbpmn;hypergraph size;415.37966306091556
LaneSet (1);mbpmn;hypergraph complexity;754.1899333545414
LaneSet (1);mbpmn;inter module coupling;254.94392777546403
LaneSet (1);mbpmn;graph cohesion;0.027510061802582156
ParallelGateway (1);org.eclipse.bpmn2;number of modules;5
ParallelGateway (1);org.eclipse.bpmn2;number of nodes;176
ParallelGateway (1);org.eclipse.bpmn2;number of edges;458
ParallelGateway (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ParallelGateway (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
ParallelGateway (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
ParallelGateway (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394584
ParallelGateway (1);mbpmn;number of modules;7
ParallelGateway (1);mbpmn;number of nodes;35
ParallelGateway (1);mbpmn;number of edges;66
ParallelGateway (1);mbpmn;hypergraph size;187.5403211626422
